name;id
Fresh grapes;UNCTAD-SoP1_Raw materials_080610
Dried grapes;UNCTAD-SoP1_Raw materials_080620
Melons and watermelons, fresh;UNCTAD-SoP1_Raw materials_080710
Papaws (papayas), fresh;UNCTAD-SoP1_Raw materials_080720
Apples, fresh;UNCTAD-SoP1_Raw materials_080810
Pears and quinces, fresh;UNCTAD-SoP1_Raw materials_080820
Apricots, fresh;UNCTAD-SoP1_Raw materials_080910
Cherries, fresh;UNCTAD-SoP1_Raw materials_080920
Peaches, including nectarines, fresh;UNCTAD-SoP1_Raw materials_080930
Plums and sloes, fresh;UNCTAD-SoP1_Raw materials_080940
Strawberries, fresh;UNCTAD-SoP1_Raw materials_081010
Raspberries, blackberries, mulberries and logan;UNCTAD-SoP1_Raw materials_081020
Black, white or red currants and gooseberries,;UNCTAD-SoP1_Raw materials_081030
Cranberries, milberries...etc, fresh;UNCTAD-SoP1_Raw materials_081040
Other fruit, fresh, nes;UNCTAD-SoP1_Raw materials_081090
Strawberries, frozen;UNCTAD-SoP1_Raw materials_081110
Raspberries, blackberries...etc, frozen;UNCTAD-SoP1_Raw materials_081120
Other fruit and nuts, frozen, nes;UNCTAD-SoP1_Raw materials_081190
Cherries, provisionally preserved, not for imme;UNCTAD-SoP1_Raw materials_081210
Strawberries, provisionally preserved, not for;UNCTAD-SoP1_Raw materials_081220
Fruit and nuts, provisionally preserved, not fo;UNCTAD-SoP1_Raw materials_081290
Dried apricots;UNCTAD-SoP1_Raw materials_081310
Dried prunes;UNCTAD-SoP1_Raw materials_081320
Dried apples;UNCTAD-SoP1_Raw materials_081330
Other dried fruit, nes;UNCTAD-SoP1_Raw materials_081340
Mixtures of dried fruit and nuts, nes;UNCTAD-SoP1_Raw materials_081350
Peel of citrus fruit or melons, fresh, frozen,;UNCTAD-SoP1_Raw materials_081400
Coffee, not roasted or decaffeinated;UNCTAD-SoP1_Raw materials_090111
Decaffeinated coffee, not roasted;UNCTAD-SoP2_Intermediate goods_090112
Durum wheat;UNCTAD-SoP1_Raw materials_100110
Spelt, common wheat and meslin;UNCTAD-SoP1_Raw materials_100190
Rye;UNCTAD-SoP1_Raw materials_100200
Barley;UNCTAD-SoP1_Raw materials_100300
Oats;UNCTAD-SoP1_Raw materials_100400
Maize seed;UNCTAD-SoP1_Raw materials_100510
Maize (excl. seed);UNCTAD-SoP1_Raw materials_100590
Rice in the husk (paddy or rough);UNCTAD-SoP1_Raw materials_100610
Husked (brown) rice;UNCTAD-SoP1_Raw materials_100620
Grain sorghum;UNCTAD-SoP1_Raw materials_100700
Buckwheat;UNCTAD-SoP1_Raw materials_100810
Millet;UNCTAD-SoP1_Raw materials_100820
Canary seed;UNCTAD-SoP1_Raw materials_100830
Other cereal, nes;UNCTAD-SoP1_Raw materials_100890
Wheat or meslin flour;UNCTAD-SoP2_Intermediate goods_110100
Rye flour;UNCTAD-SoP2_Intermediate goods_110210
Maize (corn) flour;UNCTAD-SoP2_Intermediate goods_110220
Rice flour;UNCTAD-SoP2_Intermediate goods_110230
Other cereal flour, nes;UNCTAD-SoP2_Intermediate goods_110290
Groats and meal of wheat;UNCTAD-SoP2_Intermediate goods_110311
Groats and meal of oats;UNCTAD-SoP2_Intermediate goods_110312
Groats and meal of maize (corn);UNCTAD-SoP2_Intermediate goods_110313
Groats and meal of rice;UNCTAD-SoP2_Intermediate goods_110314
Groats and meal of other cereals, nes;UNCTAD-SoP2_Intermediate goods_110319
Wheat pellets;UNCTAD-SoP2_Intermediate goods_110321
Pellets of other cereals (excl. wheat);UNCTAD-SoP2_Intermediate goods_110329
Rolled or flaked barley grains;UNCTAD-SoP2_Intermediate goods_110411
Rolled or flaked oat grains;UNCTAD-SoP2_Intermediate goods_110412
Rolled or flaked grains of other cereals, nes;UNCTAD-SoP2_Intermediate goods_110419
Other worked grains of barley, nes;UNCTAD-SoP2_Intermediate goods_110421
Other worked grains of oats, nes;UNCTAD-SoP2_Intermediate goods_110422
Other worked grains of maize (corn), nes;UNCTAD-SoP2_Intermediate goods_110423
Other worked grains of other cereals, nes;UNCTAD-SoP2_Intermediate goods_110429
Cereal germ, whole, rolled, flaked or ground;UNCTAD-SoP2_Intermediate goods_110430
Potato flour and meal;UNCTAD-SoP2_Intermediate goods_110510
Potato flakes, granules and pellets;UNCTAD-SoP2_Intermediate goods_110520
Flour and meal of the dried leguminous vegetabl;UNCTAD-SoP2_Intermediate goods_110610
Flour and meal of sago, roots or tubers of 0714;UNCTAD-SoP2_Intermediate goods_110620
Flour, meal and powder of products of Chapter 8;UNCTAD-SoP2_Intermediate goods_110630
Malt not roasted;UNCTAD-SoP2_Intermediate goods_110710
Roasted malt;UNCTAD-SoP2_Intermediate goods_110720
Wheat starch;UNCTAD-SoP2_Intermediate goods_110811
Maize (corn) starch;UNCTAD-SoP2_Intermediate goods_110812
Potato starch;UNCTAD-SoP2_Intermediate goods_110813
Manioc (cassava) starch;UNCTAD-SoP2_Intermediate goods_110814
Other starches, nes;UNCTAD-SoP2_Intermediate goods_110819
Inulin;UNCTAD-SoP2_Intermediate goods_110820
Wheat gluten;UNCTAD-SoP2_Intermediate goods_110900
Soya beans;UNCTAD-SoP1_Raw materials_120100
Ground-nuts in shell, not roasted or otherwise;UNCTAD-SoP1_Raw materials_120210
Shelled ground-nuts, not roasted or otherwise c;UNCTAD-SoP1_Raw materials_120220
Copra;UNCTAD-SoP1_Raw materials_120300
Linseed;UNCTAD-SoP1_Raw materials_120400
Rape or colza seeds;UNCTAD-SoP1_Raw materials_120500
Sunflower seeds;UNCTAD-SoP1_Raw materials_120600
Palm nuts and kernels;UNCTAD-SoP1_Raw materials_120710
Cotton seeds;UNCTAD-SoP1_Raw materials_120720
Castor oil seeds;UNCTAD-SoP1_Raw materials_120730
Sesamum seeds;UNCTAD-SoP1_Raw materials_120740
Mustard seeds;UNCTAD-SoP1_Raw materials_120750
Safflower seeds;UNCTAD-SoP1_Raw materials_120760
Poppy seeds;UNCTAD-SoP1_Raw materials_120791
Shea nuts (karite nuts);UNCTAD-SoP1_Raw materials_120792
Other oil seeds and oleaginous fruits, nes;UNCTAD-SoP1_Raw materials_120799
Soya bean flour and meal;UNCTAD-SoP2_Intermediate goods_120810
Other flours and meal of oil seeds or oleaginou;UNCTAD-SoP2_Intermediate goods_120890
Sugar beet seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120911
Beet seed, of a kind used for sowing, (excl. su;UNCTAD-SoP1_Raw materials_120919
Lucerne (alfalfa) seed, of a kind used for sowi;UNCTAD-SoP1_Raw materials_120921
Clover seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120922
Fescue seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120923
Kentucky blue grass seed, of a kind used for so;UNCTAD-SoP1_Raw materials_120924
Rye grass seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120925
Timothy grass seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120926
Other seeds of forage plants, of a kind used fo;UNCTAD-SoP1_Raw materials_120929
Seeds of herbaceous plants, of a kind used for;UNCTAD-SoP1_Raw materials_120930
Vegetable seed, of a kind used for sowing;UNCTAD-SoP1_Raw materials_120991
Other seeds, fruit and spores, of a kind used f;UNCTAD-SoP1_Raw materials_120999
Hop cones (excl. ground, powdered or pellets),;UNCTAD-SoP1_Raw materials_121010
